,sql,python,excel,power_bi,tableau,sas,azure,snowflake,aws,spark,looker,qlik
0,False,False,False,False,False,False,False,False,False,False,False,False
33,False,False,True,False,False,False,False,False,False,False,False,False
90,True,False,False,False,False,False,False,False,False,False,False,False
49,False,True,False,False,False,False,False,False,False,False,False,False
131,True,False,True,False,False,False,False,False,False,False,False,False
158,True,True,False,False,False,False,False,False,False,False,False,False
16,False,False,False,True,False,False,False,False,False,False,False,False
235,True,True,True,True,True,False,False,False,False,False,False,False
41,False,False,True,True,False,False,False,False,False,False,False,False
178,True,True,False,False,True,False,False,False,False,False,False,False
137,True,False,True,False,False,True,False,False,False,False,False,False
202,True,True,False,True,True,False,False,False,False,False,False,False
215,True,True,True,False,False,False,False,False,False,False,False,False
11,False,False,False,False,True,False,False,False,False,False,False,False
103,True,False,False,False,True,False,False,False,False,False,False,False
139,True,False,True,False,True,False,False,False,False,False,False,False
112,True,False,False,True,False,False,False,False,False,False,False,False
146,True,False,True,True,False,False,False,False,False,False,False,False
151,True,False,True,True,True,False,False,False,False,False,False,False
78,False,True,True,False,False,False,False,False,False,False,False,False
120,True,False,False,True,True,False,False,False,False,False,False,False
9,False,False,False,False,False,True,False,False,False,False,False,False
102,True,False,False,False,False,True,False,False,False,False,False,False
234,True,True,True,True,False,True,False,True,False,False,False,False
45,False,False,True,True,True,False,False,False,False,False,False,False
157,True,False,True,True,True,True,False,True,False,False,False,False
161,True,True,False,False,False,False,False,False,True,False,False,False
122,True,False,False,True,True,False,False,False,False,False,True,False
17,False,False,False,True,False,False,False,False,False,False,False,True
1,False,False,False,False,False,False,False,False,False,False,True,False
27,False,False,False,True,True,False,False,False,False,False,False,False
191,True,True,False,True,False,False,False,False,False,False,False,False
225,True,True,True,False,True,False,False,False,False,False,False,False
98,True,False,False,False,False,False,True,False,False,False,False,False
65,False,True,False,False,True,False,False,False,False,False,False,False
38,False,False,True,False,True,False,False,False,False,False,False,False
3,False,False,False,False,False,False,False,False,True,False,False,False
51,False,True,False,False,False,False,False,False,True,False,False,False
68,False,True,False,True,False,False,False,False,False,False,False,False
74,False,True,False,True,True,False,False,False,False,False,False,False
160,True,True,False,False,False,False,False,False,False,True,False,False
50,False,True,False,False,False,False,False,False,False,True,False,False
175,True,True,False,False,False,True,False,False,False,False,False,False
117,True,False,False,True,False,False,True,False,False,False,False,False
2,False,False,False,False,False,False,False,False,False,True,False,False
7,False,False,False,False,False,False,True,False,False,False,False,False
5,False,False,False,False,False,False,False,True,False,False,False,False
230,True,True,True,True,False,False,False,False,False,False,False,False
92,True,False,False,False,False,False,False,False,False,False,True,False
96,True,False,False,False,False,False,False,True,False,False,False,False
56,False,True,False,False,False,False,True,False,False,False,False,False
182,True,True,False,False,True,False,False,False,True,False,False,False
223,True,True,True,False,False,True,False,False,False,False,False,False
150,True,False,True,True,False,True,False,False,False,False,False,False
89,False,True,True,True,True,False,False,False,False,False,False,False
163,True,True,False,False,False,False,False,False,True,True,False,False
93,True,False,False,False,False,False,False,False,True,False,False,False
91,True,False,False,False,False,False,False,False,False,False,False,True
86,False,True,True,True,False,False,False,False,False,False,False,False
61,False,True,False,False,False,True,False,False,False,False,False,False
183,True,True,False,False,True,False,False,True,False,False,False,False
18,False,False,False,True,False,False,False,False,False,False,True,False
134,True,False,True,False,False,False,False,True,False,False,False,False
237,True,True,True,True,True,False,True,True,True,False,False,False
229,True,True,True,False,True,True,False,False,False,False,False,False
83,False,True,True,False,True,False,False,False,False,False,False,False
23,False,False,False,True,False,False,True,False,False,False,False,False
179,True,True,False,False,True,False,False,False,False,False,True,False
37,False,False,True,False,False,True,False,False,False,False,False,False
171,True,True,False,False,False,False,True,False,False,True,False,False
30,False,False,False,True,True,False,True,False,False,False,False,False
25,False,False,False,True,False,True,False,False,False,False,False,False
40,False,False,True,False,True,True,False,False,False,False,False,False
15,False,False,False,False,True,True,False,False,False,False,False,False
140,True,False,True,False,True,False,False,False,False,False,False,True
226,True,True,True,False,True,False,False,False,True,False,False,False
170,True,True,False,False,False,False,True,False,False,False,False,False
180,True,True,False,False,True,False,False,False,False,True,False,False
28,False,False,False,True,True,False,False,False,False,False,False,True
67,False,True,False,False,True,True,False,False,False,False,False,False
52,False,True,False,False,False,False,False,False,True,True,False,False
130,True,False,False,True,True,True,False,False,False,False,False,False
164,True,True,False,False,False,False,False,True,False,False,False,False
159,True,True,False,False,False,False,False,False,False,False,True,False
144,True,False,True,False,True,True,False,False,False,False,False,False
184,True,True,False,False,True,False,False,True,False,False,True,False
133,True,False,True,False,False,False,False,False,True,False,False,False
35,False,False,True,False,False,False,False,True,False,False,False,False
13,False,False,False,False,True,False,False,False,True,False,False,False
124,True,False,False,True,True,False,False,False,True,False,False,False
236,True,True,True,True,True,False,False,True,False,False,False,False
167,True,True,False,False,False,False,False,True,True,False,False,False
197,True,True,False,True,False,False,True,False,False,False,False,False
42,False,False,True,True,False,False,False,False,False,False,False,True
127,True,False,False,True,True,False,True,False,False,False,False,False
205,True,True,False,True,True,False,False,False,True,False,False,False
165,True,True,False,False,False,False,False,True,False,False,True,False
135,True,False,True,False,False,False,True,False,False,False,False,False
123,True,False,False,True,True,False,False,False,False,False,True,True
233,True,True,True,True,False,True,False,False,False,False,False,False
195,True,True,False,True,False,False,False,True,False,False,False,False
203,True,True,False,True,True,False,False,False,False,False,True,False
220,True,True,True,False,False,False,True,False,False,True,False,False
138,True,False,True,False,False,True,True,False,False,False,False,False
187,True,True,False,False,True,True,False,False,False,False,False,False
148,True,False,True,True,False,False,True,False,False,False,False,False
169,True,True,False,False,False,False,False,True,True,True,False,False
118,True,False,False,True,False,False,True,False,True,False,False,False
228,True,True,True,False,True,False,True,True,False,False,False,False
207,True,True,False,True,True,False,False,True,False,False,False,False
172,True,True,False,False,False,False,True,False,True,False,False,False
217,True,True,True,False,False,False,False,False,False,True,False,False
162,True,True,False,False,False,False,False,False,True,False,True,False
152,True,False,True,True,True,False,False,False,False,False,True,False
153,True,False,True,True,True,False,True,False,False,False,False,False
210,True,True,False,True,True,False,True,False,True,False,False,False
155,True,False,True,True,True,True,False,False,False,False,False,False
201,True,True,False,True,False,True,False,False,False,False,False,False
238,True,True,True,True,True,True,False,False,False,False,False,False
55,False,True,False,False,False,False,False,True,True,False,False,False
60,False,True,False,False,False,False,True,True,False,False,False,False
79,False,True,True,False,False,False,False,False,True,False,False,False
32,False,False,False,True,True,True,False,True,False,False,False,False
76,False,True,False,True,True,False,False,False,False,True,False,False
31,False,False,False,True,True,True,False,False,False,False,False,False
46,False,False,True,True,True,False,False,False,False,False,False,True
101,True,False,False,False,False,False,True,True,False,False,False,False
106,True,False,False,False,True,False,False,True,False,False,False,False
14,False,False,False,False,True,False,False,True,False,False,False,False
82,False,True,True,False,False,True,False,False,False,False,False,False
57,False,True,False,False,False,False,True,False,False,True,False,False
110,True,False,False,False,True,True,False,False,False,False,False,False
114,True,False,False,True,False,False,False,False,True,False,False,False
12,False,False,False,False,True,False,False,False,False,False,False,True
8,False,False,False,False,False,False,True,False,True,False,False,False
53,False,True,False,False,False,False,False,True,False,False,False,False
199,True,True,False,True,False,False,True,True,False,False,False,False
36,False,False,True,False,False,False,True,False,False,False,False,False
204,True,True,False,True,True,False,False,False,False,True,False,True
185,True,True,False,False,True,False,False,True,True,False,False,False
39,False,False,True,False,True,False,False,False,False,False,False,True
43,False,False,True,True,False,False,False,True,True,False,False,True
44,False,False,True,True,False,True,False,False,False,False,False,False
200,True,True,False,True,False,False,True,True,True,False,False,False
198,True,True,False,True,False,False,True,False,True,False,True,False
188,True,True,False,False,True,True,False,False,True,True,False,False
186,True,True,False,False,True,False,False,True,True,True,False,True
196,True,True,False,True,False,False,False,True,False,False,True,False
47,False,False,True,True,True,False,True,False,False,False,False,False
194,True,True,False,True,False,False,False,False,True,True,False,False
206,True,True,False,True,True,False,False,False,True,False,True,False
192,True,True,False,True,False,False,False,False,False,False,True,False
48,False,False,True,True,True,True,False,True,False,False,False,False
190,True,True,False,False,True,True,False,True,True,False,True,False
189,True,True,False,False,True,True,False,True,False,False,False,False
193,True,True,False,True,False,False,False,False,False,True,False,False
116,True,False,False,True,False,False,False,True,True,False,False,False
34,False,False,True,False,False,False,False,False,True,False,False,False
24,False,False,False,True,False,False,True,True,False,False,False,False
4,False,False,False,False,False,False,False,False,True,True,False,False
6,False,False,False,False,False,False,False,True,True,False,False,False
10,False,False,False,False,False,True,True,False,False,False,False,False
232,True,True,True,True,False,False,False,True,False,False,False,True
231,True,True,True,True,False,False,False,False,True,False,False,False
19,False,False,False,True,False,False,False,False,False,True,True,False
20,False,False,False,True,False,False,False,True,False,False,False,False
227,True,True,True,False,True,False,False,False,True,False,True,False
21,False,False,False,True,False,False,False,True,False,False,True,False
22,False,False,False,True,False,False,False,True,True,False,True,False
224,True,True,True,False,False,True,False,True,False,False,False,False
222,True,True,True,False,False,False,True,False,True,True,False,False
208,True,True,False,True,True,False,True,False,False,False,False,False
221,True,True,True,False,False,False,True,False,True,False,False,False
26,False,False,False,True,False,True,False,False,False,True,False,False
219,True,True,True,False,False,False,False,True,False,True,False,False
218,True,True,True,False,False,False,False,False,True,False,False,False
29,False,False,False,True,True,False,False,False,False,False,True,True
216,True,True,True,False,False,False,False,False,False,False,True,False
214,True,True,False,True,True,True,True,False,False,True,False,False
213,True,True,False,True,True,True,False,False,True,True,False,False
212,True,True,False,True,True,True,False,False,False,True,False,False
54,False,True,False,False,False,False,False,True,False,True,False,False
209,True,True,False,True,True,False,True,False,False,True,False,False
211,True,True,False,True,True,False,True,True,False,False,False,False
59,False,True,False,False,False,False,True,False,True,True,False,False
181,True,True,False,False,True,False,False,False,False,True,True,False
136,True,False,True,False,False,False,True,True,False,False,False,False
94,True,False,False,False,False,False,False,False,True,False,True,False
147,True,False,True,True,False,False,False,False,False,False,False,True
95,True,False,False,False,False,False,False,False,True,True,False,False
145,True,False,True,False,True,True,False,False,False,False,False,True
97,True,False,False,False,False,False,False,True,True,True,False,False
143,True,False,True,False,True,False,False,True,False,False,False,False
142,True,False,True,False,True,False,False,False,True,False,False,False
141,True,False,True,False,True,False,False,False,False,False,True,False
99,True,False,False,False,False,False,True,False,False,True,False,False
100,True,False,False,False,False,False,True,False,True,False,False,False
104,True,False,False,False,True,False,False,False,False,True,False,False
105,True,False,False,False,True,False,False,False,True,False,False,False
58,False,True,False,False,False,False,True,False,True,False,False,False
107,True,False,False,False,True,False,False,True,False,False,True,False
132,True,False,True,False,False,False,False,False,False,False,True,False
108,True,False,False,False,True,False,False,True,True,False,True,False
109,True,False,False,False,True,False,True,False,False,False,False,False
129,True,False,False,True,True,False,True,False,False,True,False,False
128,True,False,False,True,True,False,True,False,False,False,False,True
126,True,False,False,True,True,False,False,True,True,False,False,False
125,True,False,False,True,True,False,False,True,False,False,True,False
111,True,False,False,False,True,True,False,False,False,False,False,True
113,True,False,False,True,False,False,False,False,False,True,False,False
121,True,False,False,True,True,False,False,False,False,False,False,True
149,True,False,True,True,False,False,True,False,True,False,False,False
88,False,True,True,True,False,True,False,False,False,False,False,False
87,False,True,True,True,False,False,True,False,False,False,False,False
85,False,True,True,False,True,True,False,False,False,False,False,False
115,True,False,False,True,False,False,False,True,False,False,False,False
177,True,True,False,False,False,True,True,True,True,True,False,False
176,True,True,False,False,False,True,False,False,True,False,False,True
62,False,True,False,False,False,True,False,True,False,False,False,False
174,True,True,False,False,False,False,True,True,False,False,False,False
173,True,True,False,False,False,False,True,False,True,True,False,False
63,False,True,False,False,False,True,True,False,False,False,False,False
64,False,True,False,False,False,True,True,False,True,True,False,False
66,False,True,False,False,True,False,False,False,False,True,False,False
69,False,True,False,True,False,False,False,False,False,False,False,True
168,True,True,False,False,False,False,False,True,True,False,False,True
70,False,True,False,True,False,False,False,False,False,True,False,False
166,True,True,False,False,False,False,False,True,False,True,False,False
71,False,True,False,True,False,False,False,False,False,True,False,True
72,False,True,False,True,False,False,True,False,False,False,False,False
73,False,True,False,True,False,False,True,False,True,False,False,False
75,False,True,False,True,True,False,False,False,False,False,True,True
77,False,True,False,True,True,False,False,True,False,False,False,False
80,False,True,True,False,False,False,False,True,False,False,False,False
81,False,True,True,False,False,False,True,False,True,False,False,False
156,True,False,True,True,True,True,False,False,False,False,False,True
154,True,False,True,True,True,False,True,True,False,False,False,False
84,False,True,True,False,True,False,False,False,False,False,True,False
119,True,False,False,True,False,False,True,True,False,False,False,False
